ID,Decision,Line,Event,Visible cue,Exact condition,Must not trigger,Emotion,Flavour,Extra requirement
L126,,Record broken. Back still negotiating.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,amused,bad-joke,
L127,,"That's my old limit, gone.",New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,satisfied,practical,
L128,,New deepest point. I earned this breath.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,relieved,relatable,
L129,,Beat my best. Nobody mention the nerves.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,vulnerable,relatable,
L130,,Farther than last time. Good.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,steady,practical,
L131,,New record. I'd forgotten how pride feels.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,soft,mystery,
L132,,A new best. I'll complain after celebrating.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,playful,relatable,
L133,,Loose rocks. Keep moving.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",urgent,practical,
L134,,Loose rocks. Not again.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",rattled,practical,
L135,,Rocks coming down. Move!,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",alarmed,practical,
L136,,Rockfall. Get clear.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",firm,practical,
L137,,That rock's coming down!,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",sharp,practical,
L138,,Loose ceiling. Move clear.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",urgent,practical,
L139,,Rocks above. Out of here.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",focused,practical,
L140,,Falling rocks. Keep clear.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",firm,practical,
L141,,Get clear of those rocks!,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",alarmed,practical,
L142,,Rockfall. Don't stand here.,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",urgent,practical,
L143,,Watch those falling rocks!,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",sharp,practical,
L144,,"Loose rocks. Move, move!",Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",strained,practical,
L145,,Still breathing. That makes a change.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",relieved,dark-humour,
L146,,Not my first burial.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",rattled,mystery,
L147,,Fuck me. Still breathing.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",breathless,dark-humour,
L148,,I've had gentler lovers.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",rueful,innuendo,
L149,,Rocks stopped. Let's keep it that way.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",weary,practical,
L150,,Survived that. Hands haven't caught up.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",shaken,vulnerable,
L151,,Quake's over. My nerves need longer.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",wry,relatable,
L152,,"Missed me. Terrible aim, mountain.",Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",crooked,bad-joke,
L153,,Still here. Bit rude of me.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",amused,dark-humour,
L154,,That rockfall nearly ended my shift.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",rattled,work,
L155,,"Quake's passed. Breathe, you idiot.",Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",self-reassuring,relatable,
L156,,Rocks settled. I'm still doing that.,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",muttering,bad-joke,
L157,,Too much. I need somewhere safe.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",strained,vulnerable,
L158,,I'm rattled. Get somewhere calm.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",urgent,vulnerable,
L159,,Steady hands. Find safety.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",focused,practical,
L160,,Panic's climbing. Time to get clear.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",alarmed,practical,
L161,,Not thinking straight. Find safe ground.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",strained,vulnerable,
L162,,All right. Fear's winning. Move to safety.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",rattled,practical,
L163,,I'm losing my nerve here.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",breathless,vulnerable,
L164,,Easy. Get safe. Then breathe.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",self-reassuring,practical,
L165,,"That's enough stress. Somewhere safe, now.",Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",firm,practical,
L166,,Can't settle here. Find safety.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",strained,practical,
L167,,Keep it together. Get somewhere safe.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",urgent,practical,
L168,,Panic later. Safe ground first.,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",focused,practical,
L169,,Calm again. Took your time.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",relieved,relatable,
L170,,There. I can think again.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",soft,vulnerable,
L171,,Nerves settled. Let's be kinder to them.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",gentle,relatable,
L172,,Panic's gone. Pride's still hiding.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",wry,bad-joke,
L173,,Better. I needed that quiet.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",weary,vulnerable,
L174,,Feeling steady. Small mercies.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",relieved,practical,
L175,,There's my nerve. Welcome back.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",warm,relatable,
L176,,Calm at last. Quite the performance.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",dry,bad-joke,
L177,,Hands feel steady again. Good.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",satisfied,practical,
L178,,That's better. Nobody tell my reputation.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",crooked,relatable,
L179,,The fear passes. I remember that much.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",quiet,mystery,
L180,,Breathing easier. That's enough for now.,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",soft,vulnerable,
L181,,Quite a haul. My back noticed.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",weary,relatable,
L182,,That's a lot of ore.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",impressed,practical,
L183,,Bag's earning its keep today.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",pleased,work,
L184,,A proper haul. Mostly honest work.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",crooked,dark-humour,
L185,,All that ore. Supper's looking better.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",hopeful,relatable,
L186,,That's enough ore to brag about.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",proud,relatable,
L187,,Quite a load. I volunteered for this.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",resigned,bad-joke,
L188,,Look at that haul. Worth the dirt.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",satisfied,work,
L189,,Bag's looking profitable. Finally.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",amused,work,
L190,,A good haul. Don't get greedy.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",self-reassuring,practical,
L191,,More ore than sense. Typical.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",dry,bad-joke,
L192,,This haul deserves a sit-down.,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",weary,relatable,
L193,,I used to hate daylight.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",wistful,mystery,Daylight only
L194,,The sky still looks wrong.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",uneasy,mystery,
L195,,Still alive. Sorry to disappoint.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",weary,dark-humour,
L196,,"Town again. Gods, I need a chair.",Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",relieved,relatable,
L197,,Back in Town. Try looking respectable.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",self-conscious,bad-joke,
L198,,There's Town. I missed this air.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",warm,warmth,
L199,,Made it back. That's the important bit.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",relieved,practical,
L200,,Home for now. Don't make it complicated.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",soft,mystery,
L201,,Back above ground. My shoulders thank me.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",weary,relatable,
L202,,Town. A beautiful place to stop working.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",amused,work,
L203,,Back in one piece. More or less.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",wry,dark-humour,
L204,,Town again. I owe myself supper.,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",pleased,relatable,
L205,,Upgrade bought. There goes supper.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",rueful,relatable,
L206,,"Well, that upgrade wasn't cheap.",A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",dry,work,
L207,,Upgrade paid for. Better earn its keep.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",resolute,work,
L208,,New upgrade. Old spending problem.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",amused,bad-joke,
L209,,That's bought. Try calling it an investment.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",self-conscious,relatable,
L210,,Upgrade's mine. Wallet needs a moment.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",rueful,bad-joke,
L211,,Bought myself a little more ambition.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",pleased,relatable,
L212,,Upgrade paid. Complaining is still free.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",dry,bad-joke,
L213,,That upgrade cost actual evenings.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",weary,work,
L214,,A new upgrade. Let's make it count.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",steady,practical,
L215,,Bought it. I do deserve something nice.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",soft,relatable,
L216,,Upgrade secured. My debts will understand.,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",crooked,dark-humour,
L217,,Level up. Still no paid holidays.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",dry,work,
L218,,Another level. I should act my age.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",amused,bad-joke,
L219,,A level gained. I'll take the compliment.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",pleased,relatable,
L220,,Level up. Trying looks good on me.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",proud,relatable,
L221,,Another level. Earned that one.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",satisfied,practical,
L222,,Level gained. Don't ruin it by boasting.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",self-conscious,relatable,
L223,,A new level. Same expensive habits.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",wry,relatable,
L224,,Another level. Maybe I'm getting somewhere.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",hopeful,warmth,
L225,,Level up. The old fool learns.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",fond,relatable,
L226,,A level gained. Worth a quiet grin.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",pleased,relatable,
L227,,Another level. I remember starting over.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",quiet,mystery,
L228,,Level up. Breakfast would still help.,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",weary,bad-joke,
L229,,New talent. That's worth learning.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",pleased,practical,
L230,,A new trick. Try looking modest.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",playful,relatable,
L231,,Talent learned. A rare good decision.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",dry,bad-joke,
L232,,Learned something new. At my age.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",surprised,relatable,
L233,,That talent's mine. Let's use it wisely.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",steady,practical,
L234,,A new talent. I had room for one.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",amused,bad-joke,
L235,,One more thing I shouldn't know.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",quiet,mystery,
L236,,Learned that trick before. Somewhere else.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",uneasy,mystery,
