ID,Decision,Line,Emotion,Flavour,Event,Visible cue,Exact condition,Must not trigger,Extra requirement,Recording status,Existing takes,Note
L165,yes,"That's enough stress. Somewhere safe, now.",firm,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L166,yes,Can't settle here. Find safety.,strained,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L167,yes,Keep it together. Get somewhere safe.,urgent,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L168,yes,Panic later. Safe ground first.,focused,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L169,yes,Calm again. Took your time.,relieved,relatable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L170,yes,There. I can think again.,soft,vulnerable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L171,yes,Nerves settled. Let's be kinder to them.,gentle,relatable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L172,yes,Panic's gone. Pride's still hiding.,wry,bad-joke,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L173,yes,Better. I needed that quiet.,weary,vulnerable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L174,yes,Feeling steady. Small mercies.,relieved,practical,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L175,yes,There's my nerve. Welcome back.,warm,relatable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L176,yes,Calm at last. Quite the performance.,dry,bad-joke,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L177,yes,Hands feel steady again. Good.,satisfied,practical,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L179,yes,The fear passes. I remember that much.,quiet,mystery,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L180,yes,Breathing easier. That's enough for now.,soft,vulnerable,Hardcore stress returns to calm,Your critical stress warning visibly clears.,A personally experienced warning/critical episode returns to calm. The warning clears and safety holds for 3 seconds.,"No ordinary refill, spawning calm, restored save or new threat.",,Needs new recording,0,
L181,yes,Quite a haul. My back noticed.,weary,relatable,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L182,yes,That's a lot of ore.,impressed,practical,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L183,yes,Bag's earning its keep today.,pleased,work,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L184,yes,A proper haul. Mostly honest work.,crooked,dark-humour,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L185,yes,All that ore. Supper's looking better.,hopeful,relatable,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L186,yes,That's enough ore to brag about.,proud,relatable,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L187,yes,Quite a load. I volunteered for this.,resigned,bad-joke,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L188,yes,Look at that haul. Worth the dirt.,satisfied,work,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L189,yes,Bag's looking profitable. Finally.,amused,work,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L190,yes,A good haul. Don't get greedy.,self-reassuring,practical,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L192,yes,This haul deserves a sit-down.,weary,relatable,A substantial haul,A fresh pickup fills the bag's visual indicator.,Fresh material collection crosses the bag HUD's top visual band after a meaningful haul; its pickup/bag feedback is visible.,"Visual fullness is not a carrying limit. No blocked-inventory claims, forced-selling advice or restored inventory.",,Needs new recording,0,
L196,yes,"Town again. Gods, I need a chair.",relieved,relatable,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L197,yes,Back in Town. Try looking respectable.,self-conscious,bad-joke,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L198,yes,There's Town. I missed this air.,warm,warmth,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L199,yes,Made it back. That's the important bit.,relieved,practical,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L200,yes,Home for now. Don't make it complicated.,soft,mystery,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L201,yes,Back above ground. My shoulders thank me.,weary,relatable,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L202,yes,Town. A beautiful place to stop working.,amused,work,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L203,yes,Back in one piece. More or less.,wry,dark-humour,Back in Town after a deep trip,You emerge into Town after going at least 300 metres deep.,A real deep expedition ends with a committed return summary. The player is above ground and Town is visible.,"No short surface loop, underground teleport, menu, shop or NPC conversation. Daylight lines additionally require daylight.",,Needs new recording,0,
L206,yes,"Well, that upgrade wasn't cheap.",dry,work,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L207,yes,Upgrade paid for. Better earn its keep.,resolute,work,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L208,yes,New upgrade. Old spending problem.,amused,bad-joke,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L209,yes,That's bought. Try calling it an investment.,self-conscious,relatable,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L210,yes,Upgrade's mine. Wallet needs a moment.,rueful,bad-joke,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L211,yes,Bought myself a little more ambition.,pleased,relatable,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L212,yes,Upgrade paid. Complaining is still free.,dry,bad-joke,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L213,yes,That upgrade cost actual evenings.,weary,work,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L214,yes,A new upgrade. Let's make it count.,steady,practical,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L215,yes,Bought it. I do deserve something nice.,soft,relatable,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L216,yes,Upgrade secured. My debts will understand.,crooked,dark-humour,A meaningful upgrade bought,The successful upgrade purchase confirmation appears.,"A deliberate purchase succeeds, spends at least 20% of the previous wallet and shows its confirmation. The merchant is not speaking.","No shop entry, failed purchase, free grant, restored upgrade or repeat click. Drop if NPC dialogue owns the moment.",,Needs new recording,0,
L219,yes,A level gained. I'll take the compliment.,pleased,relatable,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L220,yes,Level up. Trying looks good on me.,proud,relatable,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L221,yes,Another level. Earned that one.,satisfied,practical,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L222,yes,Level gained. Don't ruin it by boasting.,self-conscious,relatable,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L223,yes,A new level. Same expensive habits.,wry,relatable,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L224,yes,Another level. Maybe I'm getting somewhere.,hopeful,warmth,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L227,yes,Another level. I remember starting over.,quiet,mystery,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L228,yes,Level up. Breakfast would still help.,weary,bad-joke,Level gained,The level-up effect and new level appear.,Gameplay XP increases the level and the level-up effect is visible. Multiple levels from one award count as one moment.,"No every-XP trigger, loaded level or character selection.",,Needs new recording,0,
L229,yes,New talent. That's worth learning.,pleased,practical,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L230,yes,A new trick. Try looking modest.,playful,relatable,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L232,yes,Learned something new. At my age.,surprised,relatable,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L233,yes,That talent's mine. Let's use it wisely.,steady,practical,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L234,yes,A new talent. I had room for one.,amused,bad-joke,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L235,yes,One more thing I shouldn't know.,quiet,mystery,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L237,yes,New talent. I might surprise myself.,hopeful,relatable,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L238,yes,Talent unlocked. Hard work occasionally pays.,satisfied,work,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L240,yes,New talent. Better than another bad habit.,wry,relatable,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",,Needs new recording,0,
L241,yes,Blessing's lit. That's better.,relieved,warmth,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L242,yes,A blessing. I'll accept the help.,soft,vulnerable,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L243,yes,Fire's blessing. Warmth with benefits.,amused,bad-joke,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L244,yes,"Blessing taken. Thank you, old friend.",tender,mystery,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L245,yes,That blessing feels like a second chance.,reflective,warmth,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L246,yes,Blessing's burning. Let's make it count.,resolute,practical,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L247,yes,A blessing. Even I need looking after.,self-conscious,relatable,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L248,yes,"Thank you, fire. I needed the blessing.",warm,warmth,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L249,yes,Blessing lit. Almost feels like being welcome.,wistful,mystery,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L251,yes,Blessing's ready. Back to earning it.,steady,work,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",,Needs new recording,0,
L253,yes,Bigger fire. Better company.,warm,warmth,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L254,yes,Look at that fire grow.,awed,practical,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L255,yes,A proper flame now. Good.,pleased,warmth,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L256,yes,Fire's grown. I helped with that.,proud,relatable,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L257,yes,Bigger flame. Bigger excuse to sit.,amused,bad-joke,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L258,yes,"There you go, fire. Room to breathe.",tender,warmth,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L259,yes,Fire's bigger. The welcome feels warmer.,relieved,warmth,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L260,yes,Flame's grown. Try not to look proud.,self-conscious,relatable,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L261,yes,A bigger fire. Beats a bigger debt.,dry,bad-joke,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L262,yes,That flame remembers how to grow.,quiet,mystery,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L263,yes,Bigger fire. Someone's doing well.,fond,warmth,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L264,yes,Fire's growing. Worth what I spent.,satisfied,work,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",,Needs new recording,0,
L265,yes,"The tree's grown. Well done, old thing.",tender,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L266,yes,Look at that tree. Still trying.,warm,relatable,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L267,yes,Bigger tree. Better place to come back.,pleased,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L268,yes,Worldroot's growing. I won't pretend I don't care.,soft,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L269,yes,The tree grew. Show-off.,playful,bad-joke,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L270,yes,More tree. Less reason to leave.,wistful,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L271,yes,Tree's grown again. I remember it smaller.,reflective,mystery,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L272,yes,Look at Worldroot grow. Stubborn as me.,fond,relatable,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L273,yes,A bigger tree. Something's going right.,relieved,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L274,yes,Worldroot's grown. I owe it a visit.,gentle,warmth,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L275,yes,Tree's growing. Better management than my last job.,dry,bad-joke,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L276,yes,The tree grew. I'll take some credit.,self-conscious,relatable,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",,Needs new recording,0,
L277,yes,I like people. In manageable quantities.,dry,relatable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L278,yes,My best plans involve a chair.,weary,relatable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L279,yes,I tried retirement. Couldn't afford the hobby.,amused,bad-joke,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
